bnum	position	modification
b2691	37	m2A_path_1
b2691	32	s2C_path_1
b2691	54	m5U_path_1
b2691	46	m7G_path_1
b2691	20A	DDusgen_path_1
b2691	17	DDusgen_path_2
b2691	55	Y_path_7
b2691	34	I_path_1
b2692	37	m2A_path_1
b2692	32	s2C_path_1
b2692	54	m5U_path_1
b2692	46	m7G_path_1
b2692	20A	DDusgen_path_1
b2692	17	DDusgen_path_2
b2692	55	Y_path_7
b2692	34	I_path_1
b2693	37	m2A_path_1
b2693	32	s2C_path_1
b2693	54	m5U_path_1
b2693	46	m7G_path_1
b2693	20A	DDusgen_path_1
b2693	17	DDusgen_path_2
b2693	55	Y_path_7
b2693	34	I_path_1
b2694	37	m2A_path_1
b2694	32	s2C_path_1
b2694	54	m5U_path_1
b2694	46	m7G_path_1
b2694	20A	DDusgen_path_1
b2694	17	DDusgen_path_2
b2694	55	Y_path_7
b2694	34	I_path_1
b2695	32	s2C_path_1
b2695	54	m5U_path_1
b2695	20A	DDusgen_path_1
b2695	55	Y_path_7
b2695	34	QtRNA_path_1
b2695	37	ct6A_path_1
b2695	8	s4U_path_1
b2590	37	m2A_path_1
b2590	54	m5U_path_1
b2590	55	Y_path_7
b2590	13	Y_path_6
b2590	34	mnm5ges2U_path_5
b2590	34	mnm5ges2U_path_4
b2590	34	ges2U_path_1
b2590	34	mnm5se2U_path_6
b2590	34	mnm5se2U_path_8
b0244	37	t6A_path_1
b0244	20	DDusgen_path_3
b0244	17	DDusgen_path_2
b0244	54	m5U_path_1
b0244	55	Y_path_7
b0883	18	Gm_path_1
b0883	54	m5U_path_1
b0883	37	i6A_path_1
b0883	20A	DDusgen_path_1
b0883	40	Y_path_5
b0883	55	Y_path_7
b0883	34	QtRNA_path_1
b0883	8	s4U_path_1
b1231	18	Gm_path_1
b1231	54	m5U_path_1
b1231	39	Y_path_4
b1231	55	Y_path_7
b1231	34	QtRNA_path_1
b1231	37	ms2i6A_path_1
b1231	8	s4U_path_1
b1230	18	Gm_path_1
b1230	54	m5U_path_1
b1230	39	Y_path_4
b1230	55	Y_path_7
b1230	34	QtRNA_path_1
b1230	37	ms2i6A_path_1
b1230	8	s4U_path_1
b4270	37	i6A_path_1
b4270	20	DDusgen_path_3
b4270	54	m5U_path_1
b4270	55	Y_path_7
b3853	37	m2A_path_1
b3853	34	cmo5U_path_1
b3853	54	m5U_path_1
b3853	46	m7G_path_1
b3853	17	DDusgen_path_2
b3853	55	Y_path_7
b3853	34	mo5U_path_1
b3852	54	m5U_path_1
b3852	46	m7G_path_1
b3852	20A	DDusgen_path_1
b3852	20	DDusgen_path_3
b3852	17	DDusgen_path_2
b3852	65	Y_path_2
b3852	55	Y_path_7
b3852	34	QtRNA_path_1
b3852	37	ct6A_path_1
b4164	37	m2A_path_1
b4164	54	m5U_path_1
b4164	46	m7G_path_1
b4164	20	DDusgen_path_3
b4164	17	DDusgen_path_2
b4164	55	Y_path_7
b4164	34	QtRNA_path_1
b4165	37	m2A_path_1
b4165	54	m5U_path_1
b4165	46	m7G_path_1
b4165	20	DDusgen_path_3
b4165	17	DDusgen_path_2
b4165	55	Y_path_7
b4165	34	QtRNA_path_1
b4370	18	Gm_path_1
b4370	54	m5U_path_1
b4370	34	Cm_path_2
b4370	20	DDusgen_path_3
b4370	17	DDusgen_path_2
b4370	38	Y_path_3
b4370	40	Y_path_5
b4370	55	Y_path_7
b4370	37	m1G_path_1
b4163	37	m2A_path_1
b4163	54	m5U_path_1
b4163	46	m7G_path_1
b4163	20	DDusgen_path_3
b4163	17	DDusgen_path_2
b4163	55	Y_path_7
b4163	34	QtRNA_path_1
b2189	37	m1G_path_1
b2189	20	DDusgen_path_3
b2189	54	m5U_path_1
b2189	34	QtRNA_path_1
b2189	55	Y_path_7
b1032	18	Gm_path_1
b1032	54	m5U_path_1
b1032	37	i6A_path_1
b1032	20A	DDusgen_path_1
b1032	40	Y_path_5
b1032	55	Y_path_7
b1032	34	QtRNA_path_1
b1032	8	s4U_path_1
b2348	37	ct6A_path_1
b2348	20A	DDusgen_path_1
b2348	55	Y_path_7
b2348	54	m5U_path_1
b3277	54	m5U_path_1
b3277	46	m7G_path_1
b3277	20A	DDusgen_path_1
b3277	20	DDusgen_path_3
b3277	17	DDusgen_path_2
b3277	65	Y_path_2
b3277	55	Y_path_7
b3277	34	QtRNA_path_1
b3277	37	ct6A_path_1
b0668	37	m2A_path_1
b0668	18	Gm_path_1
b0668	54	m5U_path_1
b0668	20	DDusgen_path_3
b0668	34	mnm5ges2U_path_5
b0668	38	Y_path_3
b0668	55	Y_path_7
b0668	34	ges2U_path_1
b0668	34	mnm5se2U_path_8
b0668	8	s4U_path_1
b0668	34	cmnm5se2U_path_2
b0668	32	Um_path_1
b3273	54	m5U_path_1
b3273	46	m7G_path_1
b3273	20	DDusgen_path_3
b3273	17	DDusgen_path_2
b3273	55	Y_path_7
b3273	34	QtRNA_path_1
b3273	37	m6t6A_path_1
b1986	54	m5U_path_1
b1986	46	m7G_path_1
b1986	20	DDusgen_path_3
b1986	37	ct6A_path_1
b1986	34	QtRNA_path_1
b1986	39	Y_path_4
b1986	55	Y_path_7
b1986	8	s4U_path_1
b0666	18	Gm_path_1
b0666	54	m5U_path_1
b0666	46	m7G_path_1
b0666	20A	DDusgen_path_1
b0666	20	DDusgen_path_3
b0666	17	DDusgen_path_2
b0666	37	ct6A_path_1
b0666	39	Y_path_4
b0666	55	Y_path_7
b0666	8	s4U_path_1
b0665	37	m2A_path_1
b0665	18	Gm_path_1
b0665	54	m5U_path_1
b0665	20	DDusgen_path_3
b0665	38	Y_path_3
b0665	39	Y_path_4
b0665	55	Y_path_7
b0665	8	s4U_path_1
b0664	37	m2A_path_1
b0664	18	Gm_path_1
b0664	54	m5U_path_1
b0664	20	DDusgen_path_3
b0664	38	Y_path_3
b0664	39	Y_path_4
b0664	55	Y_path_7
b0664	8	s4U_path_1
b0664	32	Um_path_1
b3969	37	m2A_path_1
b3969	54	m5U_path_1
b3969	55	Y_path_7
b3969	13	Y_path_6
b3969	34	mnm5ges2U_path_5
b3969	34	mnm5ges2U_path_4
b3969	34	ges2U_path_1
b3969	34	mnm5se2U_path_6
b3969	34	mnm5se2U_path_8
b4368	18	Gm_path_1
b4368	54	m5U_path_1
b4368	34	Cm_path_2
b4368	20	DDusgen_path_3
b4368	17	DDusgen_path_2
b4368	38	Y_path_3
b4368	40	Y_path_5
b4368	55	Y_path_7
b4368	37	m1G_path_1
b4369	18	Gm_path_1
b4369	54	m5U_path_1
b4369	34	Cm_path_2
b4369	20	DDusgen_path_3
b4369	17	DDusgen_path_2
b4369	38	Y_path_3
b4369	40	Y_path_5
b4369	55	Y_path_7
b4369	37	m1G_path_1
b2864	37	m2A_path_1
b2864	8	s4U_path_1
b2864	20	DDusgen_path_3
b2864	54	m5U_path_1
b2864	55	Y_path_7
b0971	34	cmo5U_path_1
b0971	18	Gm_path_1
b0971	54	m5U_path_1
b0971	32	Cm_path_1
b0971	20A	DDusgen_path_1
b0971	20	DDusgen_path_3
b0971	55	Y_path_7
b0971	37	ms2i6A_path_1
b0971	34	mo5U_path_1
b0971	8	s4U_path_1
b3757	37	m2A_path_1
b3757	54	m5U_path_1
b3757	55	Y_path_7
b3757	13	Y_path_6
b3757	34	mnm5ges2U_path_5
b3757	34	mnm5ges2U_path_4
b3757	34	ges2U_path_1
b3757	34	mnm5se2U_path_6
b3757	34	mnm5se2U_path_8
b2404	39	Y_path_4
b2404	55	Y_path_7
b2404	54	m5U_path_1
b2404	46	m7G_path_1
b2404	20	DDusgen_path_3
b2404	17	DDusgen_path_2
b2404	37	ct6A_path_1
b2404	34	mnm5ges2U_path_5
b2404	34	mnm5ges2U_path_4
b2404	34	ges2U_path_1
b2404	34	mnm5se2U_path_6
b2404	34	mnm5se2U_path_8
b2401	34	cmo5U_path_1
b2401	54	m5U_path_1
b2401	46	m7G_path_1
b2401	17	DDusgen_path_2
b2401	55	Y_path_7
b2401	34	mo5U_path_1
b2401	8	s4U_path_1
b2401	37	m6A_path_1
b2403	34	cmo5U_path_1
b2403	54	m5U_path_1
b2403	46	m7G_path_1
